2023-09-27 17:33:07.185  INFO [user-service, , ] 29492 --- [main] c.o.userservice.UserServiceApplication   : Starting UserServiceApplication using Java 17.0.1 on LAPTOP-5332DICF with PID 29492 (C:\Users\shahz\OneDrive\Desktop\LearnerSpace\Microservices_photo_app\user-service\target\classes started by shahz in C:\Users\shahz\OneDrive\Desktop\LearnerSpace\Microservices_photo_app)
2023-09-27 17:33:07.191  INFO [user-service, , ] 29492 --- [main] c.o.userservice.UserServiceApplication   : No active profile set, falling back to 1 default profile: "default"
2023-09-27 17:33:07.309  INFO [user-service, , ] 29492 --- [main] o.s.c.c.c.ConfigServerConfigDataLoader   : Fetching config from server at : http://localhost:8090
2023-09-27 17:33:07.310  INFO [user-service, , ] 29492 --- [main] o.s.c.c.c.ConfigServerConfigDataLoader   : Located environment: name=user-service, profiles=[default], label=null, version=1f519b075c1ffa4f24b0f7479c06548f99b0385d, state=null
2023-09-27 17:33:09.673  INFO [user-service, , ] 29492 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-09-27 17:33:09.953  INFO [user-service, , ] 29492 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 262 ms. Found 1 JPA repository interfaces.
2023-09-27 17:33:10.486  INFO [user-service, , ] 29492 --- [main] faultConfiguringBeanFactoryPostProcessor : No bean named 'errorChannel' has been explicitly defined. Therefore, a default PublishSubscribeChannel will be created.
2023-09-27 17:33:10.507  INFO [user-service, , ] 29492 --- [main] faultConfiguringBeanFactoryPostProcessor : No bean named 'integrationHeaderChannelRegistry' has been explicitly defined. Therefore, a default DefaultHeaderChannelRegistry will be created.
2023-09-27 17:33:10.768  INFO [user-service, , ] 29492 --- [main] o.s.cloud.context.scope.GenericScope     : BeanFactory id=298064aa-bd48-3d07-a7e7-c4c564534c1b
2023-09-27 17:33:12.409  INFO [user-service, , ] 29492 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8080 (http)
2023-09-27 17:33:12.467  INFO [user-service, , ] 29492 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2023-09-27 17:33:12.468  INFO [user-service, , ] 29492 --- [main] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.78]
2023-09-27 17:33:12.829  INFO [user-service, , ] 29492 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2023-09-27 17:33:12.830  INFO [user-service, , ] 29492 --- [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 5514 ms
2023-09-27 17:33:13.247  INFO [user-service, , ] 29492 --- [main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2023-09-27 17:33:13.579  INFO [user-service, , ] 29492 --- [main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2023-09-27 17:33:13.595  INFO [user-service, , ] 29492 --- [main] o.s.b.a.h2.H2ConsoleAutoConfiguration    : H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:testdb2'
2023-09-27 17:33:14.015  INFO [user-service, , ] 29492 --- [main] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2023-09-27 17:33:14.140  INFO [user-service, , ] 29492 --- [main] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 5.6.15.Final
2023-09-27 17:33:14.519  INFO [user-service, , ] 29492 --- [main] o.hibernate.annotations.common.Version   : HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2023-09-27 17:33:14.782  INFO [user-service, , ] 29492 --- [main] org.hibernate.dialect.Dialect            : HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2023-09-27 17:33:15.783  INFO [user-service, , ] 29492 --- [main] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-09-27 17:33:15.796  INFO [user-service, , ] 29492 --- [main] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-09-27 17:33:16.831  WARN [user-service, , ] 29492 --- [main] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-09-27 17:33:17.318  INFO [user-service, , ] 29492 --- [main] o.s.c.openfeign.FeignClientFactoryBean   : For 'PHOTO-SERVICE' URL not provided. Will try picking an instance via load-balancing.
2023-09-27 17:33:18.117  INFO [user-service, , ] 29492 --- [main] o.s.s.web.DefaultSecurityFilterChain     : Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@20bc72af, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@36f2bfe6, org.springframework.security.web.context.SecurityContextPersistenceFilter@b31cd6b, org.springframework.security.web.header.HeaderWriterFilter@77524169, org.springframework.security.web.authentication.logout.LogoutFilter@1ca876b7, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@7985c32f, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3d123d10, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@147c00c7, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@bf2aa3f, org.springframework.security.web.session.SessionManagementFilter@3bb59485, org.springframework.security.web.access.ExceptionTranslationFilter@16716cc0, org.springframework.security.web.access.intercept.AuthorizationFilter@1272f6d9]
2023-09-27 17:33:20.905  INFO [user-service, , ] 29492 --- [main] o.s.cloud.commons.util.InetUtils         : Cannot determine local hostname
2023-09-27 17:33:21.651  INFO [user-service, , ] 29492 --- [main] o.s.c.s.m.DirectWithAttributesChannel    : Channel 'user-service.springCloudBusInput' has 1 subscriber(s).
2023-09-27 17:33:23.416  INFO [user-service, , ] 29492 --- [main] o.s.cloud.commons.util.InetUtils         : Cannot determine local hostname
2023-09-27 17:33:23.462  INFO [user-service, , ] 29492 --- [main] DiscoveryClientOptionalArgsConfiguration : Eureka HTTP Client uses RestTemplate.
2023-09-27 17:33:23.650  WARN [user-service, , ] 29492 --- [main] iguration$LoadBalancerCaffeineWarnLogger : Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2023-09-27 17:33:23.682  INFO [user-service, , ] 29492 --- [main] o.s.b.a.e.web.EndpointLinksResolver      : Exposing 3 endpoint(s) beneath base path '/actuator'
